user_name,description,text,place,gender
Paula Miller-Knipple,"I am a Sr. Scientist & full-time Mommy to 3 beautiful children..Ethan (9 yrs), Eli and Chloe (5 yr old twins). Love my kids, God,fam, & Notre Dame football.","RT @CatholicReview: Breast cancer treatment included St. Agnes Hospital, prayer - See more at: https://t.co/QWCCUDtPp2 #ThinkPink https://t…",Hagerstown,1
AMI at USC,"Alfred E. Mann Institute @ the U. of Southern California, We accelerate medical innovation!",Keck School of Medicine researchers have discovered ovarian cancer risk may have a relation with the sense of smell. https://t.co/tXwW6U8NFI,"Los Angeles, CA",1
karen,bt 03.11.2013 | amt 10.10.2014,RT @AustinMahone: I wanted to do something special for my next wrap. Supporting Breast Cancer Awareness Month 💟 thank… https://t.co/DSB8zsd…,justin bieber is the best part,1
Denis Costello,"Seafaring science educator, marathon runner, puppy wrangler & baseball enthusiast. Trojan for life. I play guitar...sometimes.
#FightOn!",RT @USC_Athletics: Get your USC breast cancer awareness gear: https://t.co/1Vo5XzjaXH Proceeds go to @KeckMedUSC cancer research. https://t…,From LA to Houston,0
San Diego,"Follow YSK San Diego for the latest news in the #SanDiego, #California area.",Fight breast cancer while pampering at Blo Gaslamp https://t.co/PPvMNRKJRC,"San Diego, CA",2
Delaney Ⓑⓔⓒⓚ,"CBVA, PHS '16, Volleyball; Live Your Life, I Live mine for Jesus",PINK game tomorrow against valley view! Wear pink to support breast cancer and come to support Poly volleyball! https://t.co/oSvvxcHHjG,Riverside CA,0
Blayre Turnbull,SSM '11 | University of Wisconsin '15,"RT @BadgerWHockey: Nine #Badgers use pink sticks in October for Breast Cancer Awareness Month.
@AndyBaggot shares some of their stories htt…","Nova Scotia, Canada",-1
Judy Alderson,,"We Seek Comfort in October, but What Are We Doing to Stop Breast Cancer? https://t.co/JBueRmot1f","New Smyrna Beach, Florida",1
Straight Down,"Classic, comfortable clothes. Golf, tennis, lifestyle.",Don't forget! October is breast cancer awareness. This month on us get the Pink Ribbon embroidered on womens pieces. https://t.co/m2xTc2JAtY,"San Luis Obispo, CA USA",2
alipato project,"Together, we can hold batterers financially accountable. The Alipato Project represents survivors of domestic violence in lawsuits against their batterers.","""focus on breast cancer as the default cause for women’s health must stop"" let's discuss DV! https://t.co/36KRD36dAQ https://t.co/tkW7Syi7E8","Oakland, CA",2
Pro Hairstylists,Professionsal hair weaving/hair extension installments services.For bookings/inquires (647)704-0820/ frontpagehairsalon@gmail.com #Instagram:frontpagehairsalon,"🎀Breast Cancer Awareness 🎀
Breast Cancer is the most common form of cancer in women. It is important… https://t.co/ry8MmSx12h",Toronto,2
Rickey Randle,I was born in Texas but currently reside in MN! I am a music promoter/Dj for Versitale Records! You can find us here; http://t.co/XJdGg5ujO9…,Breast Cancer Awareness: Everything You Should Know About Black Women &amp; Breast Density https://t.co/0BD9p9ipY7,"St Paul, MN",0
River Ridge Vball,The official page for River Ridge High School Hawks Volleyball  #SPSL2A #HawksVBall #StriveForGreatness,Come out and support Hawks volleyball tonight &amp; don't forget to wear pink for breast cancer awareness! 💕🎀 #DigForTheCure,"Lacey, WA",2
"Laura Anthony, RN","Registered Nurse turned Nurse Practitioner student sharing resources, experiences, and ideas to better serve patients and advance the nursing profession.",Such an empowering and beautiful #mastectomy photo series at https://t.co/jgetjvr47v 💪🏼🎀 #FindItFightIt https://t.co/TbyUn9GLWK,"Austin, Texas",1
Diane D,Scifi Girl Geek. I post stuff that makes me happy. And maybe other people too! :),"RT @OnlyInBOS: Tomorrow, @SouthShorePlaza will celebrate breast cancer survivors w/a night of fashion: https://t.co/0iBWjrZs0B https://t.co…",Massachusetts USA,1
Oonagh Holt,"Marketer, Mom of 2",RT @NorthShoreLIJ: What to Know about Breast Cancer Surgery Risks: http://t.co/TIv6Np86Ym #BreastCancerAwareness #NSLIJ http://t.co/eSwUOqg…,Long Island,1
Danny Pearson MP,"Member for the State Seat of Essendon, Authorised by N Carroll, 438 Docklands Drive, Docklands, 3008",RT @BenCarrollMP: Pleased to join @DannyPearsonMP &amp; 800 locals incl. organiser Di Fincher at 2015 Breast Cancer Breakfast. #springst https:…,Melbourne,0
Vikranta sharma MD,#Hospice #PalliativeCare #HPM @VNAHealthGroup & @CentraState Health #EndOfLifeCare #PopulationHealth #aging #whatmattersmost #advancecareplanning,2015 Breast Cancer Screening Recommendations for Women at Average Risk https://t.co/kCsJa1TAKx,New Jersey,1
Part Time Jobs Pay,Search Part Time / Computer / Web / RN / Office / Driver / Milwaukee career jobs listing.,BREAST CANCER Puerto Rico looks to organ transplants to help cure ailing economy https://t.co/JI8043Wbhm https://t.co/iYDGysKA1Z,USA,2
